id,status_group
69572,functional
8776,functional
34310,functional
67743,non functional
19728,functional
9944,functional
19816,non functional
54551,non functional
53934,non functional
46144,functional
49056,functional
50409,functional
36957,functional
50495,functional
53752,functional
61848,functional
48451,non functional
58155,non functional
34169,functional needs repair
18274,functional
48375,functional
6091,functional
58500,functional needs repair
37862,functional
51058,functional
22308,functional needs repair
55012,functional
20145,functional
19685,non functional
69124,functional
46804,functional
6696,functional
57238,functional needs repair
12402,functional
41583,functional
57355,non functional
67359,non functional
60048,functional
16583,functional
25,non functional
70238,functional
12796,functional
52019,functional
19282,non functional
1843,functional needs repair
12958,non functional
45111,functional needs repair
13620,functional
