,0
0,non functional
1,non functional
2,non functional
3,non functional
4,non functional
5,non functional
6,non functional
7,non functional
8,non functional
9,non functional
10,non functional
11,non functional
12,non functional
13,non functional
14,non functional
15,non functional
16,non functional
17,non functional
18,non functional
19,non functional
20,non functional
21,non functional
22,non functional
23,non functional
24,non functional
25,non functional
26,non functional
27,non functional
28,non functional
29,non functional
30,non functional
31,non functional
32,non functional
33,non functional
34,non functional
35,non functional
36,non functional
37,non functional
38,non functional
39,non functional
40,non functional
41,non functional
42,non functional
43,non functional
44,non functional
45,non functional
46,non functional
47,non functional
48,non functional
49,non functional
50,non functional
51,non functional
52,non functional
53,non functional
54,non functional
55,non functional
56,non functional
57,non functional
58,non functional
59,non functional
60,non functional
61,non functional
62,non functional
63,non functional
64,non functional
65,non functional
66,non functional
67,non functional
68,non functional
69,non functional
70,non functional
71,non functional
72,non functional
73,non functional
74,non functional
75,non functional
76,non functional
77,non functional
78,non functional
79,non functional
80,non functional
81,non functional
82,non functional
83,non functional
84,non functional
85,non functional
86,non functional
87,non functional
88,non functional
89,non functional
90,non functional
91,non functional
92,non functional
93,non functional
94,non functional
95,non functional
96,non functional
97,non functional
98,non functional
99,non functional
100,non functional
101,non functional
102,non functional
103,non functional
104,non functional
105,non functional
106,non functional
107,non functional
108,non functional
109,non functional
110,non functional
111,non functional
112,non functional
113,non functional
114,non functional
115,non functional
116,non functional
117,non functional
118,non functional
119,non functional
120,non functional
121,non functional
122,non functional
123,non functional
124,non functional
125,non functional
126,non functional
127,non functional
128,non functional
129,non functional
130,non functional
131,non functional
132,non functional
133,non functional
134,non functional
135,non functional
136,non functional
137,non functional
138,non functional
139,non functional
140,non functional
141,non functional
142,non functional
143,non functional
144,non functional
145,non functional
146,non functional
147,non functional
148,non functional
149,non functional
150,non functional
151,non functional
152,non functional
153,non functional
154,non functional
155,non functional
156,non functional
157,non functional
158,non functional
159,non functional
160,non functional
161,non functional
162,non functional
163,non functional
164,non functional
165,non functional
166,non functional
167,non functional
168,non functional
169,non functional
170,non functional
171,non functional
172,non functional
173,non functional
174,non functional
175,non functional
176,non functional
177,non functional
178,non functional
179,non functional
180,non functional
181,non functional
182,non functional
183,non functional
184,non functional
185,non functional
186,non functional
187,non functional
188,non functional
189,non functional
190,non functional
191,non functional
192,non functional
193,non functional
194,non functional
195,non functional
196,non functional
197,non functional
198,non functional
199,non functional
200,non functional
201,non functional
202,non functional
203,non functional
204,non functional
205,non functional
206,non functional
207,non functional
208,non functional
209,non functional
210,non functional
211,non functional
212,non functional
213,non functional
214,non functional
215,non functional
216,non functional
217,non functional
218,non functional
219,non functional
220,non functional
221,non functional
222,non functional
223,non functional
224,non functional
225,non functional
226,non functional
227,non functional
228,non functional
229,non functional
230,non functional
231,non functional
232,non functional
233,non functional
234,non functional
235,non functional
236,non functional
237,non functional
238,non functional
239,non functional
240,non functional
241,non functional
242,non functional
243,non functional
244,non functional
245,non functional
246,non functional
247,non functional
248,non functional
249,non functional
250,non functional
251,non functional
252,non functional
253,non functional
254,non functional
255,non functional
256,non functional
257,non functional
258,non functional
259,non functional
260,non functional
261,non functional
262,non functional
263,non functional
264,non functional
265,non functional
266,non functional
267,non functional
268,non functional
269,non functional
270,non functional
271,non functional
272,non functional
273,non functional
274,non functional
275,non functional
276,non functional
277,non functional
278,non functional
279,non functional
280,non functional
281,non functional
282,non functional
283,non functional
284,non functional
285,non functional
286,non functional
287,non functional
288,non functional
289,non functional
290,non functional
291,non functional
292,non functional
293,non functional
294,non functional
295,non functional
296,non functional
297,non functional
298,non functional
299,non functional
300,non functional
301,non functional
302,non functional
303,non functional
304,non functional
305,non functional
306,non functional
307,non functional
308,non functional
309,non functional
310,non functional
311,non functional
312,non functional
313,non functional
314,non functional
315,non functional
316,non functional
317,non functional
318,non functional
319,non functional
320,non functional
321,non functional
322,non functional
323,non functional
324,non functional
325,non functional
326,non functional
327,non functional
328,non functional
329,non functional
330,non functional
331,non functional
332,non functional
333,non functional
334,non functional
335,non functional
336,non functional
337,non functional
338,non functional
339,non functional
340,non functional
341,non functional
342,non functional
343,non functional
344,non functional
345,non functional
346,non functional
347,non functional
348,non functional
349,non functional
350,non functional
351,non functional
352,non functional
353,non functional
354,non functional
355,non functional
356,non functional
357,non functional
358,non functional
359,non functional
360,non functional
361,non functional
362,non functional
363,non functional
364,non functional
365,non functional
366,non functional
367,non functional
368,non functional
369,non functional
370,non functional
371,non functional
372,non functional
373,non functional
374,non functional
375,non functional
376,non functional
377,non functional
378,non functional
379,non functional
380,non functional
381,non functional
382,non functional
383,non functional
384,non functional
385,non functional
386,non functional
387,non functional
388,non functional
389,non functional
390,non functional
391,non functional
392,non functional
393,non functional
394,non functional
395,non functional
396,non functional
397,non functional
398,non functional
399,non functional
400,non functional
401,non functional
402,non functional
403,non functional
404,non functional
405,non functional
406,non functional
407,non functional
408,non functional
409,non functional
410,non functional
411,non functional
412,non functional
413,non functional
414,non functional
415,non functional
416,non functional
417,non functional
418,non functional
419,non functional
420,non functional
421,non functional
422,non functional
423,non functional
424,non functional
425,non functional
426,non functional
427,non functional
428,non functional
429,non functional
430,non functional
431,non functional
432,non functional
433,non functional
434,non functional
435,non functional
436,non functional
437,non functional
438,non functional
439,non functional
440,non functional
441,non functional
442,non functional
443,non functional
444,non functional
445,non functional
446,non functional
447,non functional
448,non functional
449,non functional
450,non functional
